         61546830 function calls (55431462 primitive calls) in 44.456 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3713   16.761    0.005   16.761    0.005 {built-in method posix.waitpid}
     3713    7.411    0.002    7.411    0.002 {built-in method _posixsubprocess.fork_exec}
4053322/36558    2.526    0.000    5.489    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/copy.py:132(deepcopy)
     3713    2.397    0.001    2.397    0.001 {built-in method posix.read}
1297550/36558    1.151    0.000    5.088    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/copy.py:237(_deepcopy_dict)
770058/9266    0.755    0.000    1.000    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1 2/python/script.py:20(choose_sublists)
  1533557    0.640    0.000    2.856    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:54(<genexpr>)
  9900745    0.621    0.000    0.621    0.000 {method 'get' of 'dict' objects}
 4176/480    0.589    0.000   44.436    0.093 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1 2/python/script.py:68(find_e)
  1496999    0.478    0.000    1.591    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:452(__getitem__)
   373199    0.459    0.000    3.806    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:22(_generate_graph6_bytes)
    54153    0.457    0.000    0.604    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:526(add_nodes_from)
     3713    0.445    0.000   10.359    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1412(_execute_child)
  1496999    0.423    0.000    0.625    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/_collections_abc.py:664(__contains__)
    36558    0.422    0.000    1.141    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
  1496999    0.420    0.000    0.558    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/coreviews.py:81(__getitem__)
