         1027274053 function calls (962768512 primitive calls) in 236.147 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.211    0.211  236.147  236.147 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:191(main)
78207/6138    3.031    0.000  235.615    0.038 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:126(find_e)
   247642    6.309    0.000  125.990    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:57(has_ind_set_k)
    75433    2.196    0.000  106.583    0.001 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:99(get_all_one_edge_removed)
  1229204    2.147    0.000  102.054    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1462(copy)
64681101/247629   65.609    0.000   87.675    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:24(choose_sublists)
  1229204   41.253    0.000   69.641    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:895(add_edges_from)
 29808078   19.042    0.000   31.680    0.000 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:40(check_for_ind)
  1229204   21.032    0.000   28.502    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:526(add_nodes_from)
 47162688   11.798    0.000   15.177    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1545(<genexpr>)
135817764   13.330    0.000   13.330    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1173(has_edge)
264270494   11.601    0.000   11.601    0.000 {method 'append' of 'list' objects}
126642604   11.415    0.000   11.415    0.000 {method 'update' of 'dict' objects}
111213532    4.640    0.000    4.640    0.000 {built-in method builtins.len}
 64433472    4.393    0.000    4.393    0.000 {method 'extend' of 'list' objects}
 77003528    4.201    0.000    4.201    0.000 {method 'copy' of 'dict' objects}
 16764226    2.937    0.000    3.852    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/classes/graph.py:1543(<genexpr>)
