         461019 function calls (453987 primitive calls) in 1.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    1.127    1.127 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:158(main)
   153/44    0.013    0.000    1.122    0.026 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:85(find_e)
      128    0.006    0.000    0.938    0.007 /Users/tuguldur/University/Summer practice/Programming/triangleramsey-1.1/python/script.py:72(nauty_isomorphs)
      128    0.005    0.000    0.932    0.007 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:447(run)
      128    0.001    0.000    0.572    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:920(communicate)
      256    0.001    0.000    0.570    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1014(wait)
      256    0.003    0.000    0.570    0.002 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1621(_wait)
      128    0.000    0.000    0.567    0.004 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1608(_try_wait)
      128    0.566    0.004    0.566    0.004 {built-in method posix.waitpid}
      128    0.010    0.000    0.353    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:681(__init__)
      128    0.014    0.000    0.340    0.003 /Users/tuguldur/opt/anaconda3/lib/python3.7/subprocess.py:1412(_execute_child)
      128    0.241    0.002    0.241    0.002 {built-in method _posixsubprocess.fork_exec}
      745    0.002    0.000    0.088    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:131(to_graph6_bytes)
      128    0.081    0.001    0.081    0.001 {built-in method posix.read}
      745    0.001    0.000    0.043    0.000 {method 'join' of 'bytes' objects}
     4937    0.006    0.000    0.042    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/readwrite/graph6.py:22(_generate_graph6_bytes)
      745    0.002    0.000    0.041    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:224(convert_node_labels_to_integers)
      745    0.000    0.000    0.038    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:6(relabel_nodes)
      745    0.004    0.000    0.037    0.000 /Users/tuguldur/opt/anaconda3/lib/python3.7/site-packages/networkx/relabel.py:191(_relabel_copy)
      128    0.002    0.000    0.031    0.000 <class 'networkx.utils.decorators.argmap'> compilation 5:1(argmap_read_graph6_1)
